decision,decision_note,cde_public_id,version,crdc_name,crdc_domain,vd_type,registration_status,workflow_status,match_status,mc2_module,mc2_attribute,existing_cde_on_attribute,confidence,rationale,cv_consistency,recommended_action
confirm,,2179589,2.00,Person Given/First Name,Administrative,Non-enumerated,Standard,RELEASED,no_fit_found,person,(none recommended),,n/a,"MC2's person module models a single combined ""Name"" display string, not decomposed name components; the CRDC CDE covers the given/first name component specifically.","n/a -- not enumerated, or attribute has no Valid Values to check","Confirmed: no new attribute recommended — this would require decomposing Name into structured components, a model design change rather than an attribute addition. Flagged in Open Questions."
confirm,,2179590,2.00,Person Middle Name,Administrative,Non-enumerated,Standard,RELEASED,no_fit_found,person,(none recommended),,n/a,"MC2's person module models a single combined ""Name"" display string, not decomposed name components; the CRDC CDE covers the middle name component specifically.","n/a -- not enumerated, or attribute has no Valid Values to check","Confirmed: no new attribute recommended — this would require decomposing Name into structured components, a model design change rather than an attribute addition. Flagged in Open Questions."
confirm,,2663165,1.00,Person Name Prefix Abbreviation Text,Administrative,Enumerated,Standard,RELEASED,no_fit_found,person,(none recommended),,n/a,"MC2's person module models a single combined ""Name"" display string, not decomposed name components; the CRDC CDE covers the name prefix component specifically.","n/a -- not enumerated, or attribute has no Valid Values to check","Confirmed: no new attribute recommended — this would require decomposing Name into structured components, a model design change rather than an attribute addition. Flagged in Open Questions."
confirm,,10624734,3.00,Person ORCID Text,Administrative,Non-enumerated,Standard,RELEASED,new_semantic_match,person,Orcid Id,,high,Direct conceptual match; attribute has no existing CDE.,"n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add CRDC_CDE:10624734 to Orcid Id.
confirm,,2201713,2.00,Person Role Type,Administrative,Enumerated,Standard,RELEASED,exact_id_match,tool,Tool Entity Role,2201713,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute.,"RESOLVED (live data, 2026-09-03) -- CONFIRMED CONCERN, not fixed: real CDE 2201713 permissible values (144) are clinical/care-team roles (e.g. 'Attending Physician', 'Admitting Physician'), not software/tool roles. Model's 7 values (Contributor, Documentor, Primary Contact, Provider, Support) share almost none of them (2/7 overlap). This CDE may be a poor semantic match for 'who did what on this tool' despite matching by name/score -- flagging for a human decision on whether to keep, replace, or drop this CDE tag (pre-existing exact_id_match, not something this project chose).",Confirmed: add CRDC_CDE:2201713 alongside the existing CDE:2201713 tag so the required-pipeline set is uniformly discoverable by tag.
modified,,11459804,4.00,Project Name,Administrative,Non-enumerated,Standard,RELEASED,new_semantic_match,project,Project Name,,high,"Corrected on review: MC2's `project` module already has its own dedicated 'Project Name' attribute (part of the Project View template, modules/project/annotationProperty.csv), currently untagged. This is the correct target, not Study Name -- Study and Project are distinct entities in MC2 (Study DependsOn includes a ProjectView Key foreign key), so Study Name should keep only its own CDE 11459810.","n/a -- not enumerated, or attribute has no Valid Values to check","Resolved: add CRDC_CDE:11459804 to modules/project's own 'Project Name' attribute (currently no CDE), not to Study Name. This removes the earlier ambiguity entirely -- Study Name and Project Name are different attributes on different entities, each with its own single CRDC CDE."
confirm,,11459806,4.00,Project Short Name,Administrative,Non-enumerated,Standard,RELEASED,no_fit_found,project,(none recommended),,medium,No abbreviated/short-name field exists for Project.,"n/a -- not enumerated, or attribute has no Valid Values to check","Add new attribute Project Short Name to project module, tagged CRDC_CDE:11459806."
confirm,,6352164,2.00,Sequencing Equipment Model,Administrative,Enumerated,Qualified,RELEASED,exact_id_match,sequencingLevel1,NGS Sequencing Platform,6352164,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute.,"RESOLVED (live data, 2026-09-03): CONFIRMED CONSISTENT -- 66/67 model values match the real 76-value list.",Confirmed: add CRDC_CDE:6352164 alongside the existing CDE:6352164 tag so the required-pipeline set is uniformly discoverable by tag.
confirm,,11459810,4.00,Study Name,Administrative,Non-enumerated,Standard,RELEASED,exact_id_match,study,Study Name,11459810,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute.,"n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add CRDC_CDE:11459810 alongside the existing CDE:11459810 tag so the required-pipeline set is uniformly discoverable by tag.
confirm,,11459812,4.00,Study Short Name,Administrative,Non-enumerated,Standard,RELEASED,no_fit_found,study,Study Short Name,,medium,No abbreviated/short-name field exists for Study.,"n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add new attribute Study Short Name to study module.
confirm,,15179918,1.00,Best Overall Response,Clinical Observation,Enumerated,Qualified,RELEASED,replace_candidate,biospecimen,Biospecimen Treatment Response,13383448,medium,"Individual Recurrence Status (mapped, CDE 13529783) is a yes/no indicator; this CDE is the categorical TYPE of progression/recurrence, a distinct sibling concept.","RESOLVED (live data, 2026-09-03): CONFIRMED DISTINCT, not redundant -- real CRDC Definition for 15179918 ('Best Overall Response': best improvement across the ENTIRE course of treatment) vs. 13383448 ('Disease Response': per-assessment-point change) genuinely differ in scope, matching this project's original reasoning. Both share an identical 14-value permissible-value list (confirming they're the same vocabulary applied at different assessment scopes, not duplicate CDEs) -- model's Treatment Response CV updated to include the 3 real values it was missing (Less than Partial Response, Too Early, Not Assessed).",Confirmed: add CRDC_CDE:15179918 alongside existing CDE:13383448; flag CDE:13383448 for a follow-up review of whether it should be swapped out entirely.
confirm,,15179918,1.00,Best Overall Response,Clinical Observation,Enumerated,Qualified,RELEASED,replace_candidate,individual,Individual Treatment Response,13383448,medium,"MC2's description (""patient's final outcome after treatment"") matches ""Best Overall Response"" (a single best/final RECIST-style outcome) better than the currently-assigned CDE 13383448 ""Disease Response Assessment Outcome"" (a per-assessment-point response, not necessarily the best/final one). (see primary row for full rationale)","RESOLVED (live data, 2026-09-03): CONFIRMED DISTINCT, not redundant -- real CRDC Definition for 15179918 ('Best Overall Response': best improvement across the ENTIRE course of treatment) vs. 13383448 ('Disease Response': per-assessment-point change) genuinely differ in scope, matching this project's original reasoning. Both share an identical 14-value permissible-value list (confirming they're the same vocabulary applied at different assessment scopes, not duplicate CDEs) -- model's Treatment Response CV updated to include the 3 real values it was missing (Less than Partial Response, Too Early, Not Assessed).",Confirmed: add CRDC_CDE:15179918 alongside existing CDE:13383448; flag CDE:13383448 for a follow-up review of whether it should be swapped out entirely.
confirm,,15179918,1.00,Best Overall Response,Clinical Observation,Enumerated,Qualified,RELEASED,replace_candidate,model,Model Treatment Response,13383448,medium,"MC2's description (""patient's final outcome after treatment"") matches ""Best Overall Response"" (a single best/final RECIST-style outcome) better than the currently-assigned CDE 13383448 ""Disease Response Assessment Outcome"" (a per-assessment-point response, not necessarily the best/final one). (see primary row for full rationale)","RESOLVED (live data, 2026-09-03): CONFIRMED DISTINCT, not redundant -- real CRDC Definition for 15179918 ('Best Overall Response': best improvement across the ENTIRE course of treatment) vs. 13383448 ('Disease Response': per-assessment-point change) genuinely differ in scope, matching this project's original reasoning. Both share an identical 14-value permissible-value list (confirming they're the same vocabulary applied at different assessment scopes, not duplicate CDEs) -- model's Treatment Response CV updated to include the 3 real values it was missing (Less than Partial Response, Too Early, Not Assessed).",Confirmed: add CRDC_CDE:15179918 alongside existing CDE:13383448; flag CDE:13383448 for a follow-up review of whether it should be swapped out entirely.
modified,do not include,2179643,4.00,Body Height,Clinical Observation,Non-enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,medium,No MC2 attribute captures subject-level clinical body measurements (height/weight/BMI/BSA) anywhere in individual/biospecimen/model.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,2538920,1.00,Body Height Unit of Measurement,Clinical Observation,Enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,medium,No MC2 attribute captures subject-level clinical body measurements (height/weight/BMI/BSA) anywhere in individual/biospecimen/model.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,2006410,3.00,Body Mass Index,Clinical Observation,Non-enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,medium,No MC2 attribute captures subject-level clinical body measurements (height/weight/BMI/BSA) anywhere in individual/biospecimen/model.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,15118839,1.00,Body Surface Area,Clinical Observation,Non-enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,medium,No MC2 attribute captures subject-level clinical body measurements (height/weight/BMI/BSA) anywhere in individual/biospecimen/model.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,2179689,4.00,Body Weight,Clinical Observation,Non-enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,medium,No MC2 attribute captures subject-level clinical body measurements (height/weight/BMI/BSA) anywhere in individual/biospecimen/model.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,2630200,1.00,Body Weight Unit of Measurement,Clinical Observation,Enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,medium,No MC2 attribute captures subject-level clinical body measurements (height/weight/BMI/BSA) anywhere in individual/biospecimen/model.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,15114329,1.00,BSA UCUM Unit of Measure,Clinical Observation,Enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,medium,No MC2 attribute captures subject-level clinical body measurements (height/weight/BMI/BSA) anywhere in individual/biospecimen/model.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
confirm,,13383448,1.00,Disease Response,Clinical Observation,Enumerated,Qualified,RELEASED,exact_id_match,biospecimen,Biospecimen Treatment Response,13383448,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute.,"RESOLVED (live data, 2026-09-03): see 15179918 -- confirmed distinct, both share the same real 14-value list, model CV updated with the 3 missing values.",Confirmed: add CRDC_CDE:13383448 alongside the existing CDE:13383448 tag so the required-pipeline set is uniformly discoverable by tag.
confirm,,13383448,1.00,Disease Response,Clinical Observation,Enumerated,Qualified,RELEASED,exact_id_match,individual,Individual Treatment Response,13383448,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute. (see primary row for full rationale),"RESOLVED (live data, 2026-09-03): see 15179918 -- confirmed distinct, both share the same real 14-value list, model CV updated with the 3 missing values.",Confirmed: add CRDC_CDE:13383448 alongside the existing CDE:13383448 tag so the required-pipeline set is uniformly discoverable by tag.
confirm,,13383448,1.00,Disease Response,Clinical Observation,Enumerated,Qualified,RELEASED,exact_id_match,model,Model Treatment Response,13383448,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute. (see primary row for full rationale),"RESOLVED (live data, 2026-09-03): see 15179918 -- confirmed distinct, both share the same real 14-value list, model CV updated with the 3 missing values.",Confirmed: add CRDC_CDE:13383448 alongside the existing CDE:13383448 tag so the required-pipeline set is uniformly discoverable by tag.
modified,do not include,13381490,1.00,Disease Response Criteria System,Clinical Observation,Enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,low,No field records which criteria system (e.g. RECIST) governs the Treatment Response assessments already captured.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,88,5.10,ECOG Performance Status Score,Clinical Observation,Enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,low,No performance-status field exists.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,15753203,1.00,Environmental Exposure Type,Clinical Observation,Enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,low,No environmental-exposure field exists.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,2003853,4.20,Karnofsky Performance Status Score,Clinical Observation,Enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,low,No performance-status field exists.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,4783274,1.00,Primary Cause of Death,Clinical Observation,Enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,medium,Individual Vital Status exists (mapped) but no cause-of-death field exists.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
confirm,,15157297,2.00,Residual Disease Status,Clinical Observation,Enumerated,Standard,RELEASED,no_fit_found,individual,Individual Residual Disease Status,,low,"Individual Last Known Disease Status is a different, broader concept; no field for post-treatment residual-disease assessment specifically.","n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add new attribute Individual Residual Disease Status.
confirm,,2847330,1.00,Vital Status,Clinical Observation,Enumerated,Standard,RELEASED,exact_id_match,individual,Individual Vital Status,2847330,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute.,consistent: 5/5 of the attribute's CV values matched this CDE's real PV set (ratio 1.0),Confirmed: add CRDC_CDE:2847330 alongside the existing CDE:2847330 tag so the required-pipeline set is uniformly discoverable by tag.
confirm,,15354920,1.00,Age 90 or Older,Demographics,Enumerated,Qualified,RELEASED,no_fit_found,individual,Individual Age 90 or Older,,low,No such flag exists; low priority since it can often be derived from birth year once that is captured.,"n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add new attribute only if a de-identification/HIPAA safe-harbor workflow needs it directly; otherwise derive from Year of Birth once added.
modified,do not include,15997557,1.00,Family Member Primary Diagnosis,Demographics,Enumerated by Reference,Standard,RELEASED,no_fit_found,individual (new cluster),(none recommended),,low,"No family-history concept exists anywhere in the current model (no module or attribute tracks a relative's diagnosis, relationship, or cancer history). This is a bigger design decision than a single attribute addition — see Open Questions.","n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,2690165,3.00,Family Member Relationship,Demographics,Enumerated,Standard,RELEASED,no_fit_found,individual (new cluster),(none recommended),,low,"No family-history concept exists anywhere in the current model (no module or attribute tracks a relative's diagnosis, relationship, or cancer history). This is a bigger design decision than a single attribute addition — see Open Questions.","n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,16066660,1.00,Family Member with Cancer History,Demographics,Enumerated,Standard,RELEASED,no_fit_found,individual (new cluster),(none recommended),,low,"No family-history concept exists anywhere in the current model (no module or attribute tracks a relative's diagnosis, relationship, or cancer history). This is a bigger design decision than a single attribute addition — see Open Questions.","n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,15907364,1.00,Family Members with Cancer History Count,Demographics,Non-enumerated,Qualified,RELEASED,no_fit_found,individual (new cluster),(none recommended),,low,"No family-history concept exists anywhere in the current model (no module or attribute tracks a relative's diagnosis, relationship, or cancer history). This is a bigger design decision than a single attribute addition — see Open Questions.","n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
confirm,,10543100,2.00,NCBI Taxonomy ID,Demographics,Enumerated by Reference,Standard,RELEASED,no_fit_found,biospecimen/model/file/dataset,(format mismatch),,low,MC2 already has free-text Species attributes on Biospecimen/Model/File/Dataset (no existing CDE on any); NCBI Taxonomy ID is a different representation (numeric ID vs. free-text species name) for the same underlying concept.,"n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: consider a companion Taxonomy ID attribute (e.g. on Biospecimen) rather than repurposing the free-text Species fields; flagged in Open Questions.
confirm,,7572817,3.00,Sex at Birth,Demographics,Enumerated,Standard,RELEASED,exact_id_match,biospecimen,Biospecimen Sex,7572817,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute.,"RESOLVED (live data, 2026-09-03): CONFIRMED CONSISTENT -- all 3 real values present in the model's 9-value CV; the model's extra 6 values (Decline to answer, Intersex, etc.) are a deliberate inclusive superset, not a mismatch.",Confirmed: add CRDC_CDE:7572817 alongside the existing CDE:7572817 tag so the required-pipeline set is uniformly discoverable by tag.
confirm,,7572817,3.00,Sex at Birth,Demographics,Enumerated,Standard,RELEASED,exact_id_match,individual,Individual Sex,7572817,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute. (see primary row for full rationale),"RESOLVED (live data, 2026-09-03): CONFIRMED CONSISTENT -- all 3 real values present in the model's 9-value CV; the model's extra 6 values (Decline to answer, Intersex, etc.) are a deliberate inclusive superset, not a mismatch.",Confirmed: add CRDC_CDE:7572817 alongside the existing CDE:7572817 tag so the required-pipeline set is uniformly discoverable by tag.
confirm,,7572817,3.00,Sex at Birth,Demographics,Enumerated,Standard,RELEASED,exact_id_match,model,Model Sex,7572817,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute. (see primary row for full rationale),"RESOLVED (live data, 2026-09-03): CONFIRMED CONSISTENT -- all 3 real values present in the model's 9-value CV; the model's extra 6 values (Decline to answer, Intersex, etc.) are a deliberate inclusive superset, not a mismatch.",Confirmed: add CRDC_CDE:7572817 alongside the existing CDE:7572817 tag so the required-pipeline set is uniformly discoverable by tag.
confirm,,10609539,1.00,Subject Age At Diagnosis,Demographics,Non-enumerated,Standard,RELEASED,replace_candidate,individual,Individual Age at Diagnosis,15019300,medium,"Same concept (age at diagnosis) but the CRDC CDE's definition is expressed in days since birth, while MC2's existing CDE 15019300 attribute is described in years — a unit mismatch that must be confirmed before treating this as a like-for-like swap.","n/a -- not enumerated, or attribute has no Valid Values to check",Add CRDC_CDE:10609539 to Individual Age at Diagnosis alongside the existing CDE:15019300. Per user decision these are the same underlying concept (age at diagnosis) expressed in different units (days vs. years) -- implement a documented days<->years derivation at the mapping/ETL layer (not a new stored field) so downstream CRDC submission can produce the days-based value from MC2's years-based one.
modified,do not include,2192199,1.00,Subject Race,Demographics,Enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,medium,No race field exists — a core CRDC/GDC demographic attribute currently missing from MC2.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
modified,do not include,2192217,2.00,Subject Reported Ethnicity,Demographics,Enumerated,Standard,RELEASED,no_fit_found,individual,(none recommended),,medium,No ethnicity field exists — a core CRDC/GDC demographic attribute currently missing from MC2.,"n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
confirm,,16032218,1.00,Year of Birth,Demographics,Non-enumerated,Standard,RELEASED,no_fit_found,individual,Individual Year of Birth,,low,No birth-year field exists; PHI/de-identification implications should be considered before adding (see Open Questions).,"n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add new attribute only after a human decision on PHI handling.
confirm,,15112166,2.00,Year of Death,Demographics,Non-enumerated,Standard,RELEASED,no_fit_found,individual,Individual Year of Death,,low,No death-year field exists; pairs with Vital Status.,"n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add new attribute Individual Year of Death.
confirm,replace existing field controlled vocab to populate this field,14883072,1.00,Body Part Examined Anatomic Site UBERON Identifier,Diagnosis,Enumerated by Reference,Standard,RELEASED,replace_candidate,individual/model/biospecimen,Site of Origin (consolidated shared attribute),,high,"Corrected on final review: mapping.yaml confirms Individual/Model/Biospecimen Site of Origin all draw from the same CV source (shared/tissueOrganOriginCDS.csv) -- a true cross-module duplicate, being consolidated into one shared attribute (see plan's Redundancy Review). Biospecimen Anatomic Site (CV source shared/anatomicSite.csv) and File Anatomic Site (CV source shared/anatomicSiteImageCDS.csv) draw from different curated term subsets despite coincidentally sharing CDE:14156279 -- they are NOT part of this consolidation and this CRDC CDE does not extend to them.","n/a -- not enumerated, or attribute has no Valid Values to check","Per user decision, consolidate Individual/Model/Biospecimen Site of Origin into one shared attribute (adopting CDE:14156279, which also fixes Biospecimen's broken CDE:0000004), replace its free-text CV with UBERON-coded terms (open/reference-validated, not a fixed list), and add CRDC_CDE:14883072. Do not touch Biospecimen Anatomic Site or File Anatomic Site."
modified,do not include,15157293,1.00,Disease Laterality,Diagnosis,Enumerated,Standard,RELEASED,no_fit_found,individual/biospecimen,(none recommended),,low,"No laterality field exists at the disease level (distinct from Specimen Laterality, CDE 8028966, also unmapped).","n/a -- not enumerated, or attribute has no Valid Values to check","Do not include per user decision -- no new attribute, no CRDC_CDE mapping for this CDE."
confirm,,13529783,2.00,Disease Progression or Recurrence Indicator,Diagnosis,Enumerated,Standard,RELEASED,exact_id_match,individual,Individual Recurrence Status,13529783,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute.,"RESOLVED (live data, 2026-09-03): CONFIRMED CONSISTENT -- 7/7 exact match.",Confirmed: add CRDC_CDE:13529783 alongside the existing CDE:13529783 tag so the required-pipeline set is uniformly discoverable by tag.
confirm,see REVIEW notes in plan,14742451,1.00,Disease Progression or Recurrence Type,Diagnosis,Enumerated,Standard,RELEASED,no_fit_found,individual,Individual Disease Progression or Recurrence Type,,low,"Individual Recurrence Status (mapped, CDE 13529783) is a yes/no indicator; this CDE is the categorical TYPE of progression/recurrence, a distinct sibling concept.","n/a -- not enumerated, or attribute has no Valid Values to check","Add new attribute Individual Disease Progression or Recurrence Type, tagged CRDC_CDE:14742451 (per user decision; see plan's Diagnosis-gaps discussion for how this differs from the already-mapped Recurrence Status indicator)."
modified,replace controlled vocab in existing fields to populate this attribute,11479873,1.00,ICD-10-CM Disease Code,Diagnosis,Enumerated by Reference,Standard,RELEASED,no_fit_found,individual/biospecimen,Individual/Biospecimen ICD-10-CM Disease Code,,high,"Resolved on review: Primary Diagnosis (CDE 14905532) is already committed to an NCI-Thesaurus-coded CV replacement (a formal disease-concept vocabulary). ICD-10-CM is a different, non-overlapping coding system (alphanumeric disease codes, e.g. C80.1) -- merging both into one Valid Values list would conflate two orthogonal vocabularies on a single field. CRDC/GDC itself keeps these as separate companion fields.","n/a -- not enumerated, or attribute has no Valid Values to check","Resolved: add new companion attribute(s) Individual/Biospecimen ICD-10-CM Disease Code (Enumerated by Reference, ICD-10-CM code pattern) alongside Primary Diagnosis, following the same companion-formal-code pattern already used for the UBERON identifiers and NCBI Taxonomy ID -- do not replace or extend Primary Diagnosis's own Valid Values with ICD-10-CM codes. Tag CRDC_CDE:11479873 on the new attribute(s)."
confirm,,12447172,1.00,Last Known Disease Status,Diagnosis,Enumerated,Standard,RELEASED,new_semantic_match,individual,Individual Last Known Disease Status,,high,Exact name/concept match; neither attribute has an existing CDE.,"RESOLVED (live data, 2026-09-03): CONFIRMED CONSISTENT -- 11/11 exact match.",Confirmed: add CRDC_CDE:12447172 to both attributes.
confirm,,12447172,1.00,Last Known Disease Status,Diagnosis,Enumerated,Standard,RELEASED,new_semantic_match,biospecimen,Biospecimen Last Known Disease Status,,high,Exact name/concept match; neither attribute has an existing CDE. (see primary row for full rationale),"RESOLVED (live data, 2026-09-03): CONFIRMED CONSISTENT -- 11/11 exact match.",Confirmed: add CRDC_CDE:12447172 to both attributes.
